number,bank_name,assets,loans,liabilities,deposits,equity,net_income,year,ROA,ROE,LDR,EAR
1.0,"""Halyk Bank of Kazakhstan"", JSC",13862789955.0,8087487621.0,11976108268.0,5137146018.0,1886681687.0,539280069.0,2023,0.03890126523957709,0.28583521678079443,1.5743153090572712,0.1360968241691865
2.0,"""Kaspi Bank"", JSC",5086784318.0,3380024868.0,4542689952.0,3699473064.0,544094366.0,361709053.0,2023,0.07110760558887136,0.6647910281798434,0.9136503522329741,0.10696234241241129
3.0,"""Bank CenterCredit"", JSC",4346622613.0,2161666091.0,4072047714.0,1888551275.0,274574899.0,145004425.0,2023,0.03336025183468119,0.5281051746831381,1.1446160449098741,0.06316971208376677
4.0,"""Otbasy bank"", JSC",3440104965.0,2984577792.0,2977843722.0,2187315404.0,462261242.0,96035130.0,2023,0.02791633714002096,0.20775077223541055,1.3644935643675464,0.13437416785333467
5.0,"""ForteBank"", JSC",2914126826.0,1275636947.0,2586495445.0,776167011.0,327631382.0,92904022.0,2023,0.031880569222693125,0.2835626472436026,1.6435083286475827,0.11242866270501846
6.0,"""First Heartland Jusan Bank"", JSC ",2843661507.0,1139776680.0,2321466900.0,651730329.0,522194607.0,82522860.0,2023,0.029019930746630878,0.1580308545775541,1.7488470756744543,0.18363458720897613
7.0,"""Eurasian Bank"", JSC",2360045578.0,1152973628.0,2164593675.0,854819466.0,195451903.0,82582381.0,2023,0.034991858534352424,0.42252021971871,1.3487919658582037,0.08281700354517475
8.0,"""Bank RBK"" Bank"", JSC",1984418179.0,945226623.0,1862824106.0,462388397.0,121594073.0,38686436.0,2023,0.019495102599541344,0.3181605406046395,2.044226518512747,0.06127442002233341
9.0,"""Bereke Bank"", JSC",1694922688.0,1324575404.0,1564134032.0,205727957.0,130788657.0,-128975021.0,2023,-0.07609492864373056,-0.9861330788036152,6.4384803276882785,0.07716496919061833
10.0,"""Citibank Kazakhstan"", JSC ",1334705356.0,124626523.0,1202570853.0,3134.0,132134503.0,100197551.0,2023,0.07507091400328508,0.758299677412795,39765.96139119336,0.09899900559026452
11.0,"""Bank Freedom Finance Kazakhstan"", JSC",1264198200.0,343481254.0,1194737052.0,309293225.0,69461148.0,19075418.0,2023,0.015088945704874441,0.27461996453038756,1.1105359776309358,0.054944824316313694
12.0,"""Altyn Bank"", JSC (SB of China Citic Bank Corporation Limited)",981451106.0,337306001.0,886515066.0,321693910.0,94936040.0,24270074.0,2023,0.024728765245285687,0.25564658058204237,1.0485308876378792,0.09673027970483535
13.0,"""Home Credit Bank"", Joint Stock Company",551954564.0,442557580.0,422606351.0,216777593.0,129348213.0,15328226.0,2023,0.027770811222062836,0.11850357762576898,2.0415282496470932,0.23434576219936828
14.0,"Subsidiary Bank ""Bank of China in Kazakhstan"", JSC",550684248.0,26422739.0,471111003.0,2740347.0,79573245.0,16779793.0,2023,0.030470806203267323,0.21087229759198584,9.642114301582975,0.14449885808246327
15.0,"""Nurbank"", JSC",468758948.0,270340295.0,419162082.0,151345395.0,49596866.0,5992861.0,2023,0.012784526088662524,0.12083144527720764,1.7862472459105876,0.10580462775507381
16.0,"""Industrial and Commercial Bank of China in Almaty"", JSC",290361506.0,6373447.0,241198570.0,6971655.0,49162936.0,12834423.0,2023,0.04420153062575726,0.26105892048432583,0.9141942623379958,0.16931630048784774
17.0,"Subsidiary JSC ""Bank VTB (Kazakhstan)"" ",192889251.0,99055608.0,147964351.0,17091924.0,44924901.0,-33615846.0,2023,-0.17427537214087685,-0.748267558786607,5.795462699225669,0.23290515550812108
18.0,"SB ""KAZAKHSTAN-ZIRAAT INTERNATIONAL BANK"", JSC",171056372.0,78944779.0,112407280.0,18418213.0,58649092.0,-10895533.0,2023,-0.06369556931793222,-0.185774964768423,4.286234446305947,0.3428641173332029
