number,bank_name,assets,loans,liabilities,deposits,equity,net_income,year,ROA,ROE,LDR,EAR,LDR_score,ROA_norm,ROE_norm,EAR_norm,health_score,category
21.0,"""Islamic bank ""Zaman-Bank"", JSC",36090236.0,18060913.0,22737815.0,192613.0,13352421.0,334582.0,2023,0.0092707069025539,0.0250577779115862,93.76788171099562,0.3699732248910758,0.017288062899619816,0.267672581839478,0.025890827374165294,0.48844680788613326,0.1786074238426381,Weak
1.0,"""Halyk Bank of Kazakhstan"", JSC",14943264219.0,9538649103.0,12548272708.0,5697023282.0,2394991511.0,673757575.0,2024,0.0450877107655858,0.2813194000502659,1.6743215940748897,0.1602723123877329,0.992856753137833,0.3199059498729285,0.032452225133406315,0.20651680921639365,0.3032313956053512,Weak
2.0,"""Kaspi Bank"", JSC",6688923342.0,4545664717.0,5933222176.0,5052073784.0,755701166.0,475579980.0,2024,0.0710996307901774,0.6293228082699558,0.8997621395388552,0.1129779977077811,0.9989381568253175,0.3578401723192546,0.04136260650009112,0.14293250757634948,0.311001572247021,Weak
3.0,"""Bank CenterCredit"", JSC",5260803086.0,3074094927.0,4847420562.0,2221221212.0,413382524.0,130515999.0,2024,0.0248091397580205,0.3157269391484967,1.3839661310599802,0.0785778363573595,0.9959325566836763,0.2903328994111651,0.03333320585949395,0.09668360322974305,0.2771755608317436,Weak
4.0,"""Otbasy bank"", JSC",3996033887.0,3213567923.0,3401391556.0,2430239515.0,594642331.0,146900472.0,2024,0.0367615681333184,0.2470400513750172,1.322325599252714,0.1488081302149378,0.9965855292998338,0.30776360334742514,0.03157452663251921,0.1911039203255346,0.2969217629367858,Weak
5.0,"""ForteBank"", JSC",3444410186.0,1624803018.0,3021030300.0,920551187.0,423379886.0,126745630.0,2024,0.0367974843748763,0.2993662056019354,1.7650327770420875,0.1229179636388405,0.9918958282930891,0.3078159814377547,0.03291430083760248,0.15629618133564305,0.2914844002406848,Weak
6.0,"""First Heartland Jusan Bank"", JSC ",2869282945.0,1239682187.0,2205462155.0,736972719.0,663820790.0,140768741.0,2024,0.0490605993547283,0.2120583493626344,1.682127648744078,0.2313542451980106,0.992774061769187,0.3256997720649283,0.03067884487072082,0.3020821025830815,0.31896094058031743,Weak
7.0,"""Eurasian Bank"", JSC",2758772279.0,1453168952.0,2447501529.0,1056511444.0,311270750.0,97035541.0,2024,0.0351734507913692,0.31173999163108,1.375440805920887,0.1128294467685565,0.9960228674531725,0.3054475883641631,0.03323112288550563,0.14273278996139963,0.28935089754956983,Weak
8.0,"""Freedom Bank Kazakhstan"", JSC",2210863836.0,640906132.0,2077076935.0,459441919.0,133786902.0,34255905.0,2024,0.0154943531312074,0.2560482714518645,1.3949666007728825,0.0605134064891366,0.9958160261269664,0.27674877384075214,0.03180517574233788,0.07239708664800666,0.26822584927032744,Weak
9.0,"""Bereke Bank"" JSC",2076026637.0,1489035487.0,1916096429.0,429992047.0,159930208.0,26217116.0,2024,0.0126285065580302,0.1639284806032391,3.462937273814276,0.07703668399511,0.9739095275793079,0.27256939525965673,0.029446513589919194,0.0946116185242309,0.26598374001288233,Weak
