number,bank_name,assets,year
10.0,"""Bereke Bank"" JSC",2445232022.0,2025
11.0,"""Citibank Kazakhstan"", JSC ",1174475453.0,2025
12.0," ""Home Credit Bank"", Joint Stock Company",1036276926.0,2025
13.0,"""Altyn Bank"", JSC (SB of China Citic Bank Corporation Limited)",1002473946.0,2025
14.0,"""Shinhan Bank Kazakhstan"", JSC",676124209.0,2025
15.0,"""Nurbank"", JSC",533793102.0,2025
16.0,"Subsidiary Bank ""Bank of China in Kazakhstan"", JSC",477094455.0,2025
17.0,"""Industrial and Commercial Bank of China in Almaty"", JSC",358221019.0,2025
18.0,"SB ""KAZAKHSTAN-ZIRAAT INTERNATIONAL BANK"", JSC",295840718.0,2025
19.0,"Subsidiary JSC ""Bank VTB (Kazakhstan)"" ",244400004.0,2025
20.0,"""ADCB"" Islamic Bank"", JSC",239724519.0,2025
21.0,"""Islamic bank ""Zaman-Bank"", JSC",52017533.0,2025
,Total:,61559419394.0,2025
1.0,"The information was prepared on the basis of unconsolidated statements submitted by second-tier banks. Starting from the data as of November 1, 2021, the indicators are formed in accordance with the PPNBRK dated 04/26/2021 No. 48 ""On Amendments to the Resolution of the Board of the National Bank of the Republic of Kazakhstan dated 04/21/2020 No. 54 ""On Approval of the List, Forms, Deadlines for Reporting by second-tier banks and the Rules for its submission"" and PPNBRK dated 12/28/2018. No. 313 ""On Approval of the List, Forms, Terms and Rules of Reporting on Loans and Contingent Liabilities by Second-tier Banks, Branches of Non-Resident Banks of the Republic of Kazakhstan, Joint-Stock Company ""Development Bank of Kazakhstan"" and Organizations Engaged in Certain Types of Banking operations""",,2025
2.0,"Loans include accounts for the group of accounts 1300 ""Loans granted to other banks"", 1400 ""Customer requirements"", 1460 ""Repo transactions with securities"", excluding adjustment accounts (accounts 1310, 1311, 1430, 1431), discount and premium accounts (accounts 1312, 1313, 1432, 1433, 1434, 1435) and accounts of provisions (accounts 1319, 1428, 1463)",,2025
3.0,"Loans for which there is overdue debt on the main debt and (or) accrued remuneration. Starting from the data as of January 1, 2023, the available overdue debt is presented in three ranges: over 7 days, over 30 days and over 90 days",,2025
4.0,"Stage 3 includes loans for which events have been identified that serve as objective evidence of impairment:                                                                                                                       - Significant financial difficulties of the borrower, including expected financial difficulties;                                                                                                                                                             - Breach of contract tems; - Forced loan restructuring;                                                                                                                                                                                                                                              - Misuse of loan funds for purpose other than intended;                                                                                                                                                                                                                                         - Other events determined by the bank's (provision reserve) cdlculation methodology.                                                                                                                                                                ACCI - a purchased or originatd financial aset with evidence of impairment at the time of initial recognition.",,2025
5.0,"The amount of overdue loans (including overdue remuneration) reflected in the corresponding balance sheet accounts (1306,1309,1409,1421,1423,1424,1427,1462,1731,1741)",,2025
6.0,"Provisions for the loan portfolio have been formed in accordance with the requirements of the International financial Reporting Standards, the Rules for the formation of provisions under IFRS, and the requirements of the legislation of the Republic of Kazakhstan on accouning and financial reporting, as approved by Resolution N269 of the Board of the National Bank of the Republic of Kazakhstan dated 22.12.2017, for the purpose of covering expected and incurred credit losses on financial assets.",,2025
, ,,2025
, ,,2025
1.0,"""Halyk Bank of Kazakhstan"", JSC",20269148985.0,2026
2.0,"""Kaspi Bank"", JSC",9484289736.0,2026
3.0,"""Bank CenterCredit"", JSC",8571447512.0,2026
4.0,"""Otbasy bank"", JSC",5200361015.0,2026
